City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
0,Avarua,CK,2022-07-25 22:26:35,-21.2078,-159.775,73.45,64,75,9.22,broken clouds
1,Rikitea,PF,2022-07-25 22:25:51,-23.1203,-134.9692,75.61,71,67,16.33,broken clouds
2,Saint-Denis,FR,2022-07-25 22:27:03,48.9167,2.3333,68.49,66,0,8.05,clear sky
3,Havre De Grace,US,2022-07-25 22:27:03,39.5493,-76.0916,84.43,92,82,7.43,broken clouds
4,Albany,US,2022-07-25 22:21:54,42.6001,-73.9662,82.58,56,33,10.8,scattered clouds
5,Xichang,CN,2022-07-25 22:27:04,27.8964,102.2634,63.05,94,20,0.2,few clouds
6,Palaia Fokaia,GR,2022-07-25 22:27:05,37.72,23.9463,86.72,53,14,8.21,few clouds
7,Hobart,AU,2022-07-25 22:26:06,-42.8794,147.3294,50.25,95,75,0.0,broken clouds
8,Ushuaia,AR,2022-07-25 22:26:00,-54.8,-68.3,33.46,86,40,28.77,light snow
9,Vaini,TO,2022-07-25 22:25:58,-21.2,-175.2,78.96,83,20,8.05,few clouds
10,Cape Town,ZA,2022-07-25 22:24:30,-33.9258,18.4232,59.38,71,0,5.01,clear sky
11,Yellowknife,CA,2022-07-25 22:21:46,62.456,-114.3525,72.12,40,75,24.16,broken clouds
12,Carnarvon,AU,2022-07-25 22:26:30,-24.8667,113.6333,60.78,40,0,9.73,clear sky
13,Rujiena,LV,2022-07-25 22:27:06,57.8975,25.3316,57.06,79,89,4.05,overcast clouds
14,Chapais,CA,2022-07-25 22:25:20,49.7834,-74.8492,56.98,96,100,7.52,overcast clouds
15,Lata,PT,2022-07-25 22:24:49,40.1629,-8.3327,60.85,94,0,3.62,clear sky
16,Atuona,PF,2022-07-25 22:24:03,-9.8,-139.0333,76.96,71,28,9.89,scattered clouds
17,Hilo,US,2022-07-25 22:21:07,19.7297,-155.09,89.28,72,75,9.22,broken clouds
18,Mataura,NZ,2022-07-25 22:25:54,-46.1927,168.8643,44.47,96,100,11.25,light rain
19,Toktogul,KG,2022-07-25 22:27:07,41.8708,72.9402,75.56,32,0,1.39,clear sky
20,Isangel,VU,2022-07-25 22:22:48,-19.55,169.2667,77.11,94,75,6.91,broken clouds
21,Otane,NZ,2022-07-25 22:27:08,-39.8833,176.6333,57.0,98,100,13.31,overcast clouds
22,Amahai,ID,2022-07-25 22:27:08,-3.3333,128.9167,76.64,90,78,5.17,moderate rain
23,Ribeira Grande,PT,2022-07-25 22:23:46,38.5167,-28.7,75.49,85,16,5.73,few clouds
24,Hermanus,ZA,2022-07-25 22:24:00,-34.4187,19.2345,51.8,60,0,8.61,clear sky
25,Lavrentiya,RU,2022-07-25 22:27:09,65.5833,-171.0,41.54,86,100,16.42,overcast clouds
26,Saint-Philippe,RE,2022-07-25 22:25:53,-21.3585,55.7679,65.21,79,41,8.28,scattered clouds
27,Nowa Sol,PL,2022-07-25 22:27:09,51.8033,15.717,75.88,80,65,6.13,broken clouds
28,Kaoma,ZM,2022-07-25 22:27:10,-14.7833,24.8,56.43,50,0,6.33,clear sky
29,Tasiilaq,GL,2022-07-25 22:26:20,65.6145,-37.6368,44.76,90,100,3.42,overcast clouds
30,Maceio,BR,2022-07-25 22:27:10,-9.6658,-35.7353,74.64,83,75,3.44,broken clouds
31,East London,ZA,2022-07-25 22:25:52,-33.0153,27.9116,55.83,69,0,11.21,clear sky
32,Comodoro Rivadavia,AR,2022-07-25 22:27:11,-45.8667,-67.5,40.86,81,100,3.44,overcast clouds
33,Olafsvik,IS,2022-07-25 22:26:12,64.8945,-23.7142,53.04,63,96,6.17,overcast clouds
34,Ryotsu,JP,2022-07-25 22:27:11,38.0833,138.4333,79.03,78,53,2.48,broken clouds
35,Nikolayevsk-Na-Amure,RU,2022-07-25 22:27:12,53.1406,140.73,58.3,93,100,5.12,overcast clouds
36,Port Alfred,ZA,2022-07-25 22:26:10,-33.5906,26.891,56.14,72,0,16.51,clear sky
37,Husavik,IS,2022-07-25 22:26:03,66.0449,-17.3389,48.24,83,100,1.97,overcast clouds
38,Nouakchott,MR,2022-07-25 22:27:13,18.0858,-15.9785,80.53,81,44,10.16,scattered clouds
39,Turukhansk,RU,2022-07-25 22:27:13,65.8167,87.9833,53.02,90,92,3.24,overcast clouds
40,Poum,NC,2022-07-25 22:27:13,-20.2333,164.0167,73.06,74,0,16.15,clear sky
41,San Patricio,US,2022-07-25 22:26:51,28.017,-97.5169,97.52,47,3,18.14,clear sky
42,General Roca,AR,2022-07-25 22:27:14,-39.0333,-67.5833,44.74,92,100,9.82,overcast clouds
43,San Andres,CO,2022-07-25 22:25:12,12.5847,-81.7006,84.22,74,75,4.61,broken clouds
44,Vao,NC,2022-07-25 22:27:15,-22.6667,167.4833,69.37,73,48,15.23,scattered clouds
45,Grindsted,DK,2022-07-25 22:27:15,55.754,8.9123,62.44,94,75,8.05,broken clouds
46,Narsaq,GL,2022-07-25 22:27:15,60.9167,-46.05,53.82,88,100,2.04,overcast clouds
47,Puerto Ayora,EC,2022-07-25 22:26:27,-0.7393,-90.3518,78.76,90,83,5.01,broken clouds
48,Khatanga,RU,2022-07-25 22:26:24,71.9667,102.5,67.82,52,19,4.99,few clouds
49,Kaitangata,NZ,2022-07-25 22:23:50,-46.2817,169.8464,45.61,93,100,17.11,overcast clouds
50,Jackson,US,2022-07-25 22:24:03,42.4165,-122.8345,106.02,16,0,7.0,clear sky
51,San Francisco,US,2022-07-25 22:27:16,37.7749,-122.4194,87.26,75,20,18.41,few clouds
52,Kapaa,US,2022-07-25 22:26:23,22.0752,-159.319,84.52,64,20,14.97,few clouds
53,Georgetown,MY,2022-07-25 22:24:11,5.4112,100.3354,78.73,93,20,2.3,few clouds
54,Cabo San Lucas,MX,2022-07-25 22:24:21,22.8909,-109.9124,96.62,59,0,11.5,clear sky
55,Butaritari,KI,2022-07-25 22:25:53,3.0707,172.7902,82.2,71,91,19.84,overcast clouds
56,Thompson,CA,2022-07-25 22:26:02,55.7435,-97.8558,60.96,94,100,8.05,mist
57,Vanavara,RU,2022-07-25 22:27:18,60.34,102.2797,60.49,94,100,4.92,moderate rain
58,Havelock,US,2022-07-25 22:24:56,34.8791,-76.9013,87.78,80,0,14.97,clear sky
59,Miraflores,MX,2022-07-25 22:27:18,19.2167,-98.8083,70.45,69,99,2.26,overcast clouds
60,Ouadda,CF,2022-07-25 22:27:19,8.0777,22.4007,68.94,95,86,1.92,overcast clouds
61,Wuda,CN,2022-07-25 22:27:19,39.4994,106.7117,75.24,38,82,22.77,broken clouds
62,Nago,JP,2022-07-25 22:27:19,26.5881,127.9761,82.83,80,0,1.81,clear sky
63,Jamestown,US,2022-07-25 22:26:25,42.097,-79.2353,73.53,53,0,13.8,clear sky
64,Mahibadhoo,MV,2022-07-25 22:27:20,3.7833,72.9667,80.42,79,100,12.39,overcast clouds
65,Chimbote,PE,2022-07-25 22:24:53,-9.0853,-78.5783,64.67,80,42,10.18,scattered clouds
66,Emerald,AU,2022-07-25 22:27:21,-23.5333,148.1667,51.94,100,40,0.0,scattered clouds
67,Bengkulu,ID,2022-07-25 22:27:21,-3.8004,102.2655,72.59,85,100,3.83,moderate rain
68,Kruisfontein,ZA,2022-07-25 22:24:07,-34.0033,24.7314,52.88,80,0,5.95,clear sky
69,Sovetskiy,RU,2022-07-25 22:27:22,61.3614,63.5842,57.76,50,100,7.72,overcast clouds
70,Barrow,US,2022-07-25 22:26:09,71.2906,-156.7887,37.42,87,100,32.21,mist
71,Bambanglipuro,ID,2022-07-25 22:24:34,-7.95,110.2833,68.92,86,89,2.82,overcast clouds
72,Merauke,ID,2022-07-25 22:25:06,-8.4667,140.3333,76.14,83,65,13.15,broken clouds
73,Busselton,AU,2022-07-25 22:26:35,-33.65,115.3333,61.2,82,87,23.17,overcast clouds
74,Sturgeon Bay,US,2022-07-25 22:24:43,44.8342,-87.377,75.6,46,75,6.91,broken clouds
75,Rio Gallegos,AR,2022-07-25 22:27:23,-51.6226,-69.2181,32.05,80,0,13.8,clear sky
76,Longyearbyen,SJ,2022-07-25 22:26:12,78.2186,15.6401,48.04,81,75,13.8,broken clouds
77,Champerico,GT,2022-07-25 22:24:32,14.3,-91.9167,90.14,73,62,8.5,broken clouds
78,New Norfolk,AU,2022-07-25 22:26:01,-42.7826,147.0587,49.91,88,99,0.72,overcast clouds
79,Punta Arenas,CL,2022-07-25 22:22:22,-53.15,-70.9167,35.71,60,0,13.8,clear sky
80,Acajutla,SV,2022-07-25 22:27:24,13.5928,-89.8275,83.46,73,46,7.58,scattered clouds
81,Arman,RU,2022-07-25 22:27:25,59.7,150.1667,62.02,71,9,3.13,clear sky
82,Mahdasht,IR,2022-07-25 22:27:25,35.7299,50.8111,73.62,72,0,21.85,clear sky
83,Nizhniy Kuranakh,RU,2022-07-25 22:27:26,58.8353,125.4869,72.66,75,27,0.74,scattered clouds
84,Waitati,NZ,2022-07-25 22:27:26,-45.75,170.5667,45.45,95,100,15.41,overcast clouds
85,Sokoto,NG,2022-07-25 22:27:26,13.0609,5.239,82.4,59,35,8.41,light rain
86,Sao Filipe,CV,2022-07-25 22:24:22,14.8961,-24.4956,78.73,88,100,2.73,overcast clouds
87,Bonfim,BR,2022-07-25 22:27:27,3.0833,-59.95,81.25,78,73,3.11,broken clouds
88,Tongchuan,CN,2022-07-25 22:27:27,35.0806,109.0897,71.24,91,0,3.83,clear sky
89,Udimskiy,RU,2022-07-25 22:27:28,61.1417,45.9144,54.12,79,73,4.9,broken clouds
90,Sola,VU,2022-07-25 22:27:28,-13.8833,167.55,80.22,78,5,11.52,clear sky
91,Kodiak,US,2022-07-25 22:24:02,57.79,-152.4072,63.91,55,100,12.66,overcast clouds
92,Iracoubo,GF,2022-07-25 22:27:29,5.4802,-53.2011,79.48,84,94,7.83,overcast clouds
93,Bluff,NZ,2022-07-25 22:25:50,-46.6,168.3333,44.8,90,100,27.45,light rain
94,Batagay-Alyta,RU,2022-07-25 22:27:29,67.8006,130.4114,68.11,57,39,1.81,scattered clouds
95,Stornoway,GB,2022-07-25 22:27:29,58.2093,-6.3865,52.93,91,75,3.44,broken clouds
96,Nhulunbuy,AU,2022-07-25 22:27:30,-12.2333,136.7667,70.41,94,75,5.75,broken clouds
97,Bucerias,MX,2022-07-25 22:22:53,20.75,-105.3333,85.98,70,75,11.5,broken clouds
98,Ponta Do Sol,PT,2022-07-25 22:27:30,32.6667,-17.1,84.83,65,55,5.41,broken clouds
99,Fortuna,US,2022-07-25 22:26:47,40.5982,-124.1573,74.93,65,36,3.0,scattered clouds
100,Mahebourg,MU,2022-07-25 22:27:31,-20.4081,57.7,68.29,88,40,9.22,scattered clouds
101,Port Augusta,AU,2022-07-25 22:27:32,-32.5,137.7667,43.21,85,0,3.4,clear sky
102,Qaanaaq,GL,2022-07-25 22:26:41,77.484,-69.3632,43.81,68,2,0.98,clear sky
103,Georgiyevka,KZ,2022-07-25 22:27:32,43.0369,74.7114,73.44,35,0,8.95,clear sky
104,Vestmanna,FO,2022-07-25 22:26:55,62.1564,-7.1664,47.32,81,100,12.66,overcast clouds
105,Novyy Urengoy,RU,2022-07-25 22:27:33,66.0833,76.6333,52.65,68,100,8.48,overcast clouds
106,Clyde River,CA,2022-07-25 22:26:20,70.4692,-68.5914,43.03,87,75,3.44,broken clouds
107,Rahimatpur,IN,2022-07-25 22:27:33,17.6,74.2,71.08,93,100,4.45,overcast clouds
108,Norman Wells,CA,2022-07-25 22:23:39,65.282,-126.8329,77.04,36,20,12.66,few clouds
109,Castro,BR,2022-07-25 22:26:34,-24.7911,-50.0119,61.66,69,93,2.98,overcast clouds
110,Lorengau,PG,2022-07-25 22:27:34,-2.0226,147.2712,81.01,81,88,8.43,overcast clouds
111,Evensk,RU,2022-07-25 22:27:35,61.95,159.2333,57.83,62,46,4.27,scattered clouds
112,Gat,IL,2022-07-25 22:23:04,31.61,34.7642,78.4,70,0,1.12,clear sky
113,Nara,JP,2022-07-25 22:27:35,34.6851,135.8049,84.9,56,98,2.62,overcast clouds
114,Caravelas,BR,2022-07-25 22:23:35,-17.7125,-39.2481,69.91,84,42,5.82,scattered clouds
115,Hithadhoo,MV,2022-07-25 22:23:54,-0.6,73.0833,81.97,73,8,7.45,clear sky
116,Hasaki,JP,2022-07-25 22:27:36,35.7333,140.8333,79.29,88,56,14.27,moderate rain
117,Karratha,AU,2022-07-25 22:23:49,-20.7377,116.8463,61.65,40,5,12.12,clear sky
118,Bonthe,SL,2022-07-25 22:27:36,7.5264,-12.505,75.25,78,88,6.96,overcast clouds
119,Sault Sainte Marie,CA,2022-07-25 22:25:03,46.5168,-84.3333,67.82,58,0,17.27,clear sky
120,Isla Mujeres,MX,2022-07-25 22:27:29,21.2311,-86.731,87.85,68,77,9.57,broken clouds
121,Faanui,PF,2022-07-25 22:26:16,-16.4833,-151.75,76.55,81,23,9.6,moderate rain
122,Lamesa,US,2022-07-25 22:27:37,32.7376,-101.951,99.52,21,2,13.47,clear sky
123,Alkhan-Yurt,RU,2022-07-25 22:27:37,43.2318,45.5723,66.13,57,54,3.38,broken clouds
124,Houma,US,2022-07-25 22:26:27,29.5958,-90.7195,86.0,78,0,10.36,clear sky
125,Narok,KE,2022-07-25 22:27:38,-1.0783,35.8601,59.02,64,91,7.67,overcast clouds
126,Severo-Kurilsk,RU,2022-07-25 22:25:04,50.6789,156.125,52.72,87,100,9.04,overcast clouds
127,Sept-Iles,CA,2022-07-25 22:27:39,50.2001,-66.3821,63.12,95,100,8.99,thunderstorm with heavy rain
128,Saldanha,ZA,2022-07-25 22:26:18,-33.0117,17.9442,53.65,57,1,9.62,clear sky
129,Zhanakorgan,KZ,2022-07-25 22:27:39,43.9098,67.2495,86.04,19,1,6.78,clear sky
130,Arraial Do Cabo,BR,2022-07-25 22:25:01,-22.9661,-42.0278,71.56,83,0,13.8,clear sky
131,Shahr-E Kord,IR,2022-07-25 22:27:40,32.3256,50.8644,55.17,24,0,6.91,clear sky
132,Vila Velha,BR,2022-07-25 22:26:48,-20.3297,-40.2925,71.94,85,0,4.61,clear sky
133,Nikolskoye,RU,2022-07-25 22:26:45,59.7035,30.7861,63.81,93,80,3.65,broken clouds
134,Cherskiy,RU,2022-07-25 22:23:43,68.75,161.3,52.43,45,87,8.37,overcast clouds
135,Codrington,AU,2022-07-25 22:27:41,-38.2667,141.9667,49.37,65,98,19.62,overcast clouds
136,Bredasdorp,ZA,2022-07-25 22:25:57,-34.5322,20.0403,47.43,76,0,4.12,clear sky
137,Tuatapere,NZ,2022-07-25 22:27:41,-46.1333,167.6833,45.16,94,100,13.42,moderate rain
138,Los Llanos De Aridane,ES,2022-07-25 22:27:42,28.6585,-17.9182,71.35,83,0,16.11,clear sky
139,Plettenberg Bay,ZA,2022-07-25 22:27:42,-34.0527,23.3716,55.17,61,0,6.02,clear sky
140,Saint George,US,2022-07-25 22:27:25,37.1041,-113.5841,79.39,50,100,21.85,thunderstorm
141,Pevek,RU,2022-07-25 22:26:08,69.7008,170.3133,37.09,79,93,8.43,overcast clouds
142,Parabel,RU,2022-07-25 22:27:43,58.6978,81.4825,55.15,89,100,5.55,overcast clouds
143,Beringovskiy,RU,2022-07-25 22:27:43,63.05,179.3167,45.25,76,100,1.95,overcast clouds
144,Kandrian,PG,2022-07-25 22:27:43,-6.2167,149.55,79.79,86,82,7.36,light rain
145,Seoul,KR,2022-07-25 22:25:29,37.5683,126.9778,76.6,88,0,2.3,clear sky
146,Bambous Virieux,MU,2022-07-25 22:27:44,-20.3428,57.7575,68.25,88,40,9.22,light rain
147,Cidreira,BR,2022-07-25 22:25:37,-30.1811,-50.2056,61.41,95,22,4.76,few clouds
148,Provideniya,RU,2022-07-25 22:27:44,64.3833,-173.3,50.11,66,75,17.9,broken clouds
149,Dunedin,NZ,2022-07-25 22:27:45,-45.8742,170.5036,45.84,93,100,20.0,overcast clouds
150,Torbay,CA,2022-07-25 22:26:39,47.6666,-52.7314,74.39,83,75,17.27,broken clouds
151,Gwadar,PK,2022-07-25 22:27:45,25.1216,62.3254,81.5,85,100,3.58,light rain
152,Behshahr,IR,2022-07-25 22:27:46,36.6923,53.5526,74.95,89,94,4.52,overcast clouds
153,Saskylakh,RU,2022-07-25 22:25:52,71.9167,114.0833,68.41,70,87,6.35,overcast clouds
154,Klaksvik,FO,2022-07-25 22:27:46,62.2266,-6.589,49.12,85,38,13.02,scattered clouds
155,Beipiao,CN,2022-07-25 22:27:47,41.7919,120.7792,70.84,84,100,4.03,overcast clouds
156,Dakar,SN,2022-07-25 22:24:13,14.6937,-17.4441,82.53,83,40,4.61,scattered clouds
157,Hamilton,US,2022-07-25 22:25:18,39.1834,-84.5333,81.09,68,0,6.91,clear sky
158,Borujerd,IR,2022-07-25 22:27:47,33.8973,48.7516,72.07,29,0,4.81,clear sky
159,Nanortalik,GL,2022-07-25 22:25:17,60.1432,-45.2371,42.03,97,100,5.46,light rain
160,Sabang,ID,2022-07-25 22:27:48,5.8933,95.3214,80.31,77,100,9.84,overcast clouds
161,Songjianghe,CN,2022-07-25 22:27:48,42.1859,127.479,65.57,97,63,3.85,broken clouds
162,Morant Bay,JM,2022-07-25 22:27:49,17.8815,-76.4093,87.42,76,26,13.04,scattered clouds
163,Labuan,MY,2022-07-25 22:27:49,5.2767,115.2417,77.36,94,20,2.3,few clouds
164,Grand Gaube,MU,2022-07-25 22:27:49,-20.0064,57.6608,68.4,79,6,1.99,clear sky
165,Victoria,HK,2022-07-25 22:24:45,22.2855,114.1577,87.19,80,91,8.01,overcast clouds
166,Mar Del Plata,AR,2022-07-25 22:26:07,-38.0023,-57.5575,54.09,95,100,15.01,light rain
167,Yeppoon,AU,2022-07-25 22:27:50,-23.1333,150.7333,55.18,86,0,2.33,clear sky
168,Lompoc,US,2022-07-25 22:26:50,34.6391,-120.4579,87.78,70,0,13.8,clear sky
169,Hirara,JP,2022-07-25 22:27:50,24.8,125.2833,84.06,89,20,0.0,few clouds
170,Newport,GB,2022-07-25 22:27:51,51.5877,-2.9984,62.02,77,15,8.99,few clouds
171,Makasar,ID,2022-07-25 22:27:51,-5.14,119.4221,69.85,100,20,0.0,few clouds
172,Morgan City,US,2022-07-25 22:27:52,29.6994,-91.2068,85.01,62,97,9.19,overcast clouds
173,Fukue,JP,2022-07-25 22:27:52,32.6881,128.8419,77.41,78,11,5.61,few clouds
174,Te Anau,NZ,2022-07-25 22:27:52,-45.4167,167.7167,39.4,98,100,2.51,overcast clouds
175,Salalah,OM,2022-07-25 22:27:53,17.0151,54.0924,75.29,100,100,5.75,drizzle
176,Pacific Grove,US,2022-07-25 22:27:53,36.6177,-121.9166,74.21,77,20,11.5,few clouds
177,Denpasar,ID,2022-07-25 22:23:50,-8.65,115.2167,74.86,83,40,3.44,scattered clouds
178,Marapanim,BR,2022-07-25 22:27:54,-0.7175,-47.6997,76.37,89,100,4.99,overcast clouds
179,Tomatlan,MX,2022-07-25 22:27:54,19.9333,-105.25,83.26,84,100,6.4,overcast clouds
180,Ikom,NG,2022-07-25 22:27:55,5.9667,8.7063,72.73,98,100,2.66,overcast clouds
181,Waingapu,ID,2022-07-25 22:27:55,-9.6567,120.2641,70.93,82,95,6.2,overcast clouds
182,Havoysund,NO,2022-07-25 22:27:55,70.9963,24.6622,53.83,93,100,12.77,light rain
183,Constantine,DZ,2022-07-25 22:27:56,36.365,6.6147,85.41,23,0,2.3,clear sky
184,Olga,RU,2022-07-25 22:27:56,43.7444,135.2892,69.26,86,3,3.0,clear sky
185,Port Elizabeth,ZA,2022-07-25 22:26:33,-33.918,25.5701,57.49,76,0,17.27,clear sky
186,Adrar,MR,2022-07-25 22:27:57,20.5022,-10.0711,95.63,24,68,6.82,broken clouds
187,Tessalit,ML,2022-07-25 22:27:57,20.1986,1.0114,96.15,8,3,11.68,clear sky
188,Antofagasta,CL,2022-07-25 22:23:28,-23.65,-70.4,56.48,80,14,6.35,few clouds
189,Tuktoyaktuk,CA,2022-07-25 22:27:58,69.4541,-133.0374,59.0,77,40,16.11,scattered clouds
190,Kutum,SD,2022-07-25 22:27:58,14.2,24.6667,83.19,41,71,10.38,broken clouds
191,Douentza,ML,2022-07-25 22:27:58,14.9951,-2.9517,91.94,38,63,4.94,broken clouds
192,Udachnyy,RU,2022-07-25 22:24:17,66.4167,112.4,68.45,88,43,3.15,scattered clouds
193,Araouane,ML,2022-07-25 22:27:59,18.9048,-3.5265,100.67,21,13,5.26,few clouds
194,Tomakomai,JP,2022-07-25 22:27:59,42.6369,141.6033,75.16,88,75,2.3,broken clouds
195,Tartus,SY,2022-07-25 22:28:00,34.889,35.8866,79.48,59,0,2.91,clear sky
196,Coquimbo,CL,2022-07-25 22:23:17,-29.9533,-71.3436,55.13,82,20,8.05,few clouds
197,Esso,RU,2022-07-25 22:28:00,55.9333,158.7,54.79,94,100,1.43,light rain
198,Dukat,RU,2022-07-25 22:28:01,62.55,155.55,64.22,41,21,9.86,few clouds
199,Nikel,RU,2022-07-25 22:28:01,69.4128,30.222,59.18,75,100,6.55,overcast clouds
200,Lasa,IT,2022-07-25 22:23:53,46.6166,10.7002,67.08,92,79,5.01,light rain
201,Taoudenni,ML,2022-07-25 22:28:02,22.6783,-3.9836,102.61,10,2,13.82,clear sky
202,Harper,LR,2022-07-25 22:28:02,4.375,-7.7169,73.58,78,27,7.23,scattered clouds
203,Ati,TD,2022-07-25 22:28:02,13.2154,18.3353,88.88,49,93,11.79,overcast clouds
204,Rexburg,US,2022-07-25 22:28:03,43.826,-111.7897,87.31,17,0,8.59,clear sky
205,Nalut,LY,2022-07-25 22:28:03,30.3333,10.85,84.78,16,0,8.86,clear sky
206,Guerrero Negro,MX,2022-07-25 22:25:32,27.9769,-114.0611,80.08,54,0,15.32,clear sky
207,Namatanai,PG,2022-07-25 22:23:41,-3.6667,152.4333,80.44,81,29,9.13,light rain
208,Cascais,PT,2022-07-25 22:28:04,38.6979,-9.4215,71.47,69,0,23.0,clear sky
209,Mwinilunga,ZM,2022-07-25 22:28:04,-11.7358,24.4293,58.03,41,0,4.7,clear sky
210,Pochutla,MX,2022-07-25 22:28:05,15.7432,-96.4661,87.82,72,89,4.18,overcast clouds
211,Boa Vista,BR,2022-07-25 22:28:05,2.8197,-60.6733,78.78,78,40,4.61,light rain
212,Takoradi,GH,2022-07-25 22:28:05,4.8845,-1.7554,74.19,88,70,9.62,broken clouds
213,The Valley,AI,2022-07-25 22:28:06,18.217,-63.0578,84.34,79,20,16.11,few clouds
214,Deputatskiy,RU,2022-07-25 22:28:06,69.3,139.9,58.1,55,100,3.98,overcast clouds
215,Dikson,RU,2022-07-25 22:28:06,73.5069,80.5464,43.48,97,99,22.08,light rain
216,Qaqortoq,GL,2022-07-25 22:28:07,60.7167,-46.0333,43.9,94,100,3.4,overcast clouds
217,Trinidad,BO,2022-07-25 22:26:33,-14.8333,-64.9,84.18,70,40,4.61,scattered clouds
218,Broken Hill,AU,2022-07-25 22:24:20,-31.95,141.4333,42.58,79,0,12.77,clear sky
219,Chuy,UY,2022-07-25 22:25:55,-33.6971,-53.4616,58.08,97,100,8.99,moderate rain
220,Lagoa,PT,2022-07-25 22:26:39,39.05,-27.9833,74.28,89,0,8.84,clear sky
221,Port Blair,IN,2022-07-25 22:28:08,11.6667,92.75,78.84,89,40,1.14,mist
222,Naze,JP,2022-07-25 22:28:08,28.3667,129.4833,79.72,79,6,2.71,clear sky
223,Kavieng,PG,2022-07-25 22:24:14,-2.5744,150.7967,82.15,79,20,16.4,light rain
224,Lamu,KE,2022-07-25 22:28:09,-2.2717,40.902,73.62,78,42,17.98,scattered clouds
225,Da Lat,VN,2022-07-25 22:28:09,11.9465,108.4419,58.6,96,42,1.43,scattered clouds
226,Ekuvukeni,ZA,2022-07-25 22:28:10,-28.4675,30.1551,42.76,44,0,1.72,clear sky
227,Maneadero,MX,2022-07-25 22:24:21,31.7167,-116.5667,75.96,62,32,9.48,scattered clouds
228,Stendal,DE,2022-07-25 22:28:10,52.6,11.85,67.06,90,89,4.12,overcast clouds
